Rule_No,Size 4,Size 5,Size 6,Size 7,Size 8,Size 9,Size 10,Size 11,Size 12,Overall
Rule: 0
Rule: 1
Rule: 2
Rule: 3
Rule: 4
Rule: 5
Rule: 6
Rule: 7
Rule: 8
Rule: 9
Rule: 10
Rule: 11
Rule: 12
Rule: 13
Rule: 14
Rule: 15
Rule: 18
Rule: 19
Rule: 22
Rule: 23
Rule: 24
Rule: 25
Rule: 26
Rule: 27
Rule: 28
Rule: 29
Rule: 30
Rule: 32
Rule: 33
Rule: 34
Rule: 35
Rule: 36
Rule: 37
Rule: 38
Rule: 40
Rule: 41
Rule: 42
Rule: 43
Rule: 44
Rule: 45
Rule: 46
Rule: 50
Rule: 51
Rule: 54
Rule: 56
Rule: 57
Rule: 58
Rule: 60
Rule: 72
Rule: 73
Rule: 74
Rule: 76
Rule: 77
Rule: 78
Rule: 90
Rule: 104
Rule: 105
Rule: 106
Rule: 108
Rule: 128
Rule: 129
Rule: 130
Rule: 131
Rule: 132
Rule: 133
Rule: 134
Rule: 136
Rule: 137
Rule: 138
Rule: 140
Rule: 142
Rule: 146
Rule: 150
Rule: 152
Rule: 154
Rule: 156
Rule: 160
Rule: 161
Rule: 162
Rule: 164
Rule: 168
Rule: 170
Rule: 172
Rule: 178
Rule: 184
Rule: 200
Rule: 204
Rule: 232
